date;senders;receivers
o.D.;Heisenberg, Werner (1901-1976);Otero, José María
1969-01-20;Otero, José María;Heisenberg, Werner (1901-1976)
1969-01-10;Heisenberg, Werner (1901-1976);Otero, José María
1969-01-02;Otero, José María;Heisenberg, Werner (1901-1976)
1962-03-02;Heisenberg, Werner (1901-1976);Otero, José María
1962-02-09;Otero, José María;Heisenberg, Werner (1901-1976)
1961-09-26;Heisenberg, Werner (1901-1976);Otero, José María
1961-09-15;Otero, José María;Heisenberg, Werner (1901-1976)
1961-08-31;Heisenberg, Werner (1901-1976);Otero, José María
1961-05-27;Otero, José María;Heisenberg, Werner (1901-1976)
1961-03-10;Heisenberg, Werner (1901-1976);Otero, José María
1961-01-17;Heisenberg, Werner (1901-1976);Otero, José María
1961-01-23;Otero, José María;Heisenberg, Werner (1901-1976)
1961-01-12;Otero, José María;Heisenberg, Werner (1901-1976)
1960-02-18;Heisenberg, Werner (1901-1976);Otero, José María
1960-02-08;Heisenberg, Werner (1901-1976);Otero, José María
1960-02-03;Otero, José María;Heisenberg, Werner (1901-1976)
1960-01-25;Otero, José María;Heisenberg, Werner (1901-1976)
1958-10-30;Heisenberg, Werner (1901-1976);Otero, José María
1958-10-25;Otero, José María;Heisenberg, Werner (1901-1976)
1957-03-30;Heisenberg, Werner (1901-1976);Otero, José María
1957-02-26;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Otero, José María
1957-02-14;Otero, José María;Heisenberg, Werner (1901-1976)
1954-04-10;Otero, José María;Heisenberg, Werner (1901-1976)
1954-04-05;Heisenberg, Werner (1901-1976);Otero, José María
1954-03-11;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Otero, José María
1954-03-02;Otero, José María;Heisenberg, Werner (1901-1976)
1954-02-25;Heisenberg, Werner (1901-1976);Otero, José María
1953-06-09;Heisenberg, Werner (1901-1976);Otero, José María
1953-05-18;Otero, José María;Heisenberg, Werner (1901-1976)
1953-04-29;Otero, José María;Heisenberg, Werner (1901-1976)
1952-12-17;Otero, José María;Heisenberg, Werner (1901-1976)
1952-12-08;Heisenberg, Werner (1901-1976);Otero, José María
1952-09-19;Otero, José María;Heisenberg, Werner (1901-1976)
1952-11-24;Otero, José María;Heisenberg, Werner (1901-1976)
1952-07-14;Heisenberg, Werner (1901-1976);Otero, José María
1952-06-28;Otero, José María;Heisenberg, Werner (1901-1976)
1951-11-19;Otero, José María;Heisenberg, Werner (1901-1976)
1951-11-28;Heisenberg, Werner (1901-1976);Otero, José María
1951-07-13;Otero, José María;Heisenberg, Werner (1901-1976)
1951-05-08;Heisenberg, Werner (1901-1976);Otero, José María
1951-03-13;Heisenberg, Werner (1901-1976);Otero, José María
1951-02-12;Heisenberg, Werner (1901-1976);Otero, José María
1951-02-21;Otero, José María;Heisenberg, Werner (1901-1976)
1951-01-29;Otero, José María;Heisenberg, Werner (1901-1976)
1951-01-08;Heisenberg, Werner (1901-1976);Otero, José María
1951-01-02;Otero, José María;Heisenberg, Werner (1901-1976)
1951-01-02;Otero, José María;Heisenberg, Werner (1901-1976)
1950-09-26;Otero, José María;Heisenberg, Werner (1901-1976)
1950-08-12;Sanchez del Rio, Carlos (1924-2013)/ Otero, José María;Heisenberg, Werner (1901-1976)
1950-07-18;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-07-08;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-06;Heisenberg, Werner (1901-1976);Otero, José María
1950-07-03;Otero, José María;Heisenberg, Werner (1901-1976)
o.D.;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-30;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-20;Heisenberg, Werner (1901-1976);Otero, José María
1950-06-14;Heisenberg, Werner (1901-1976);Otero, José María
1950-06-13;Otero, José María;Heisenberg, Werner (1901-1976)
1950-06-08;Heisenberg, Werner (1901-1976);Otero, José María
1950-05-24;Otero, José María;Heisenberg, Werner (1901-1976)
1950-05-24;Otero, José María;Heisenberg, Werner (1901-1976)
1949-07-20;Heisenberg, Werner (1901-1976);Otero, José María
1949-05-30;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-07-07;Otero, José María;Heisenberg, Werner (1901-1976)
1949-05-29;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-05-29;Gehlen, Johannes;Heisenberg, Werner (1901-1976)
1949-05-28;Curtius, Ludwig (1874-1954) [vermutlich];Heisenberg, Werner (1901-1976)
1973-06-04;Herchen, Ingeborg;Oldenburg, Rudolf Verlag
1971-03-11;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1971-03-05;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1970-09-23;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1962-04-02;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1967-07-21;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1967-07-19;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1962-03-09;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1959-02-25;Heisenberg, Werner (1901-1976);Schröter, M. [vermutlich]/ Oldenburg, Rudolf Verlag
1959-01-22;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1959-02-24;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1959-01-20;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1958-05-14;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1954-12-10;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1954-10-22;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1954-08-10;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1954-04-21;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1954-04-08;Reuter, Hans (1895-1982);Heisenberg, Werner (1901-1976)
1954-04-05;Heisenberg, Werner (1901-1976);Oldenburg, Rudolf Verlag
1954-03-31;Oldenburg, Rudolf Verlag;Heisenberg, Werner (1901-1976)
1965-05-04;Heisenberg, Werner (1901-1976);Vogel, Hans-Jochen (1926-2020)
1965-04-14;;Heisenberg, Werner (1901-1976)
1965-01-27;;Heisenberg, Werner (1901-1976)
1965-01-21;Heisenberg, Werner (1901-1976);Vogel, Hans-Jochen (1926-2020)
1964-12-23;;Heisenberg, Werner (1901-1976)
1964-11-25;Heisenberg, Werner (1901-1976);Vogel, Hans-Jochen (1926-2020)
1964-11-17;;Heisenberg, Werner (1901-1976)
1964-07-27;Heisenberg, Werner (1901-1976);Vogel, Hans-Jochen (1926-2020)
1964-07-09;;Heisenberg, Werner (1901-1976)
1973-12-11;Heisenberg, Werner (1901-1976);Kronawitter, Georg (1928-2016)
o.D.;Kronawitter, Georg (1928-2016);Heisenberg, Werner (1901-1976)
1972-12-12;Heisenberg, Werner (1901-1976);Kronawitter, Georg (1928-2016)
o.D.;Kronawitter, Georg (1928-2016);Heisenberg, Werner (1901-1976)
1969-03-11;Vogel, M. [vermutlich];Heisenberg, Werner (1901-1976)
1969-02-27;Kronawitter, Georg (1928-2016);Heisenberg, Werner (1901-1976)
1969-01-27;Unbekannt;Unbekannt
1968-03-07;Huber, Wiltrud/ Heisenberg, Werner (1901-1976);Steinkohl, Hans
1968-03-04;Vogel, M. [vermutlich];Heisenberg, Werner (1901-1976)
1968-02-22;Heisenberg, Werner (1901-1976);Steinkohl, Hans
1968-02-13;Vogel, M. [vermutlich];Heisenberg, Werner (1901-1976)
1974-05-22;Heisenberg, Werner (1901-1976);Zeitler, Klaus (1929-2020)
1974-04-10;Heisenberg, Werner (1901-1976);Zeitler, Klaus (1929-2020)
1973-09-21;Zeitler, Klaus (1929-2020);Heisenberg, Werner (1901-1976)
1973-03-30;Heisenberg, Werner (1901-1976);Zeitler, Klaus (1929-2020)
1973-03-27;Zeitler, Klaus (1929-2020);Heisenberg, Werner (1901-1976)
1967-06-02;Heisenberg, Werner (1901-1976);Goethe-Institut Tokyo (1962-)
1967-06-21;Goethe-Institut Tokyo (1962-);Heisenberg, Werner (1901-1976)
1958-02-17;Heisenberg, Werner (1901-1976);Ollenhauer, Erich (1901-1963)
1958-02-15;Ollenhauer, Erich (1901-1963);Heisenberg, Werner (1901-1976)
1971-01-27;Heisenberg, Werner (1901-1976);Ostenfeld, Ib (1902-1995)
1971-01-19;Ostenfeld, Ib (1902-1995);Heisenberg, Werner (1901-1976)
1975-09-23;Huber, Wiltrud/ Heisenberg, Werner (1901-1976);Oppenheim, Paul (1885-1977)
1975-09-16;Oppenheim, Paul (1885-1977);Heisenberg, Werner (1901-1976)
1965-11-15;Heisenberg, Werner (1901-1976);Overbeck, Armin
1965-11-15;Overbeck, Armin;Heisenberg, Werner (1901-1976)
1973-01-24;Heisenberg, Werner (1901-1976);Oehlschlägel, Hans-Ulrich
1973-01-18;Oehlschlägel, Hans-Ulrich;Heisenberg, Werner (1901-1976)
1961-02-15;Heisenberg, Werner (1901-1976);Klotz, Günther (1911-1972)
1961-02-13;Klotz, Günther (1911-1972);Heisenberg, Werner (1901-1976)
1962-02-02;Heisenberg, Werner (1901-1976);Helmle, Bruno (1911-1996)
1962-01-30;Helmle, Bruno (1911-1996);Heisenberg, Werner (1901-1976)
1974;Zeitler, Klaus (1929-2020);Heisenberg, Werner (1901-1976)
1963-05-06;Gottstein, Klaus (1924-2020);Paul, Wolfgang (1913-1993)
1967-11-09;Paul, Wolfgang (1913-1993);Heisenberg, Werner (1901-1976)
1967-10-11;Heisenberg, Werner (1901-1976);Holthoff, Fritz (1915-2006)
1967-10-10;Jensen, J. Hans D. (1907-1973);Heisenberg, Werner (1901-1976)
1967-10-10;Heisenberg, Werner (1901-1976);Paul, Wolfgang (1913-1993)
1967-10-04;Paul, Wolfgang (1913-1993);Heisenberg, Werner (1901-1976)
1962-09-14;Paul, Wolfgang (1913-1993);Heisenberg, Werner (1901-1976)
1960-05-10;Heisenberg, Werner (1901-1976);Paul, Wolfgang (1913-1993)
1954-09-09;Heisenberg, Werner (1901-1976);Paul, Wolfgang (1913-1993)
1954-08-30;Paul, Wolfgang (1913-1993);Heisenberg, Werner (1901-1976)
1954-05-24;Heisenberg, Werner (1901-1976);Paul, Wolfgang (1913-1993)
1962-02-28;Pahl, Maximilian (1908-1992);Heisenberg, Werner (1901-1976)
1959-12-01;Pahl, Maximilian (1908-1992);Heisenberg, Werner (1901-1976)
1964-04-30;Heisenberg, Werner (1901-1976);Padua, Paul Mathias
1964-04-20;Padua, Paul Mathias;Heisenberg, Werner (1901-1976)
1962-02-27;Heisenberg, Werner (1901-1976);Padua, Paul Mathias
1962-02-24;Padua, Paul Mathias;Heisenberg, Werner (1901-1976)
1967-10-12;Heydenreich, Ludewig Heinrich;Heisenberg, Werner (1901-1976)
1967-10-30;Heisenberg, Werner (1901-1976);Panofsky, Erwin (1892-1968)
1967-09-14;Panofsky, Erwin (1892-1968);Heisenberg, Werner (1901-1976)
1972-12-18;Heisenberg, Werner (1901-1976);Splett, Oskar
1972-09-18;Splett, Oskar;Heisenberg, Werner (1901-1976)
1972-11-16;Heisenberg, Werner (1901-1976);Splett, Oskar
1972-11-10;Splett, Oskar;Heisenberg, Werner (1901-1976)
o.D.;Paul, Ada;Heisenberg, Werner (1901-1976)
1962-01-15;Heisenberg, Werner (1901-1976);Paul, Ada
o.D.;Paul, Ada;Heisenberg, Werner (1901-1976)
1975-07-09;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1975-07-05;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1976-02-29;Petri, Gábor;Giese, Annemarie/ Heisenberg, Werner (1901-1976)
1972-08-24;Heisenberg, Werner (1901-1976);Pflügel, Kurt
1960-11-22;Heisenberg, Werner (1901-1976);Pflügel, Kurt
1959-01-21;Morse, Rose/ Philosophical Library (New York, NY);Heisenberg, Werner (1901-1976)
1952-03-10;Heisenberg, Werner (1901-1976);Runes, Dagobert David (1902-1982)/ Philosophical Library (New York, NY)
1952-02-08;Runes, Dagobert David (1902-1982)/ Philosophical Library (New York, NY);Heisenberg, Werner (1901-1976)
1952-02-05;Heisenberg, Werner (1901-1976);Philosophical Library (New York, NY)
1952-01-04;Morse, Rose/ Philosophical Library (New York, NY);Heisenberg, Werner (1901-1976)
1951-03-28;Morse, Rose/ Philosophical Library (New York, NY);Heisenberg, Werner (1901-1976)
1972-05-18;Heisenberg, Werner (1901-1976);Picard, Walter (1923-2000)
1972-05-03;Picard, Walter (1923-2000);Heisenberg, Werner (1901-1976)
1971-08-25;Piesche, Werner;Heisenberg, Werner (1901-1976)
1955-07-01;Heisenberg, Werner (1901-1976);Pitcairn, E.
1955-06-28;Pitcairn, E.;Heisenberg, Werner (1901-1976)
1964-07-04;Plassmann, Clemens (1894-1970);Heisenberg, Werner (1901-1976)
1964-06-29;Heisenberg, Werner (1901-1976);Plassmann, Clemens (1894-1970)
1964-06-24;Plassmann, Clemens (1894-1970);Heisenberg, Werner (1901-1976)
1974-04-03;Pohl, Horst;Heisenberg, Werner (1901-1976)
1974-03-22;Heisenberg, Werner (1901-1976);Pohl, Horst
1974-03-12;Pohl, Horst;Heisenberg, Werner (1901-1976)
1973-03-29;Pohl, Horst;Heisenberg, Werner (1901-1976)
1973-04-18;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Pohl, Horst
1973-03-26;Heisenberg, Werner (1901-1976);Pohl, Horst
1973-02-27;Pohl, Horst;Heisenberg, Werner (1901-1976)
1968-03-18;Pohle, Rolf (-2004);Heisenberg, Werner (1901-1976)
1968-02-22;Heisenberg, Werner (1901-1976);Pohle, Rolf (-2004)
1957-06-25;Polska Akademia Nauk /  Oddzial zagraniczny;Heisenberg, Werner (1901-1976)
1965-12-22;Heisenberg, Werner (1901-1976);Polte, Wolfgang
1965-11-27;Polte, Wolfgang;Heisenberg, Werner (1901-1976)
1965-07-19;Heisenberg, Werner (1901-1976);Polte, Wolfgang
1965-07-03;Polte, Wolfgang;Heisenberg, Werner (1901-1976)
1964-11-04;Heisenberg, Werner (1901-1976);Polte, Wolfgang
1964-10-27;Polte, Wolfgang;Heisenberg, Werner (1901-1976)
1975-12-03;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Pongratz, Ludwig J. (1915-1995)
1975-10-17;Pongratz, Ludwig J. (1915-1995);Heisenberg, Werner (1901-1976)
1974-03-27;Heisenberg, Werner (1901-1976);Portmann, Adolf (1897-1982)
1971-03-22;Portmann, Adolf (1897-1982);Heisenberg, Werner (1901-1976)
1970-04-09;Portmann, Adolf (1897-1982);Heisenberg, Werner (1901-1976)
1970-04-06;Heisenberg, Werner (1901-1976);Portmann, Adolf (1897-1982)
1972-01-04;Heisenberg, Werner (1901-1976);Postelnicu, D.
1971-11-29;Postelnicu, D.;Heisenberg, Werner (1901-1976)
1969-05-06;Heisenberg, Werner (1901-1976);Postelnicu, D.
1969-03-23;Postelnicu, D.;Heisenberg, Werner (1901-1976)
1968-01-12;Heisenberg, Werner (1901-1976);Potamianos, Charalampos
1962-05-02;Heisenberg, Werner (1901-1976);Potamianos, Charalampos
1962-04-19;Potamianos, Charalampos;Heisenberg, Werner (1901-1976)
1975-11-25;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Poulík, Jozef
1975-10-28;Poulík, Jozef;Heisenberg, Werner (1901-1976)
1975-05-13;Preuß, Heinzwerner;Heisenberg, Werner (1901-1976)
1975-06-06;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Preuß, Heinzwerner
1966-01-17;Heisenberg, Werner (1901-1976);Johnston, Sebastian von [vermutlich]/ Propyläen-Verlag (1919-)
1966-01-13;Johnston, Sebastian von [vermutlich]/ Propyläen-Verlag (1919-);Heisenberg, Werner (1901-1976)
1972-07-11;Heisenberg, Werner (1901-1976);Püllmann, Alfred
1972-06-21;Püllmann, Alfred;Heisenberg, Werner (1901-1976)
1970-05-25;Heisenberg, Werner (1901-1976);Püllmann, Alfred
1970-05-13;Püllmann, Alfred;Heisenberg, Werner (1901-1976)
1968-10-15;Heisenberg, Werner (1901-1976);Püllmann, Alfred
1968-09-14;Püllmann, Alfred;Heisenberg, Werner (1901-1976)
1971-01-14;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1968-01-12;Heisenberg, Werner (1901-1976);Grünbaum, Adolf (1923-2018)
1968-01-05;Grünbaum, Adolf (1923-2018);Heisenberg, Werner (1901-1976)
1970-11-15;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1970-10-15;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
o.D.;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1970-02-25;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1970-01-10;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-12-10;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-10-17;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-08-25;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-08-07;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-06-30;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1968-12-20;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1969-01-22;Philosophy of Science Association;Huber, Wiltrud/ Heisenberg, Werner (1901-1976)
1968-11-19;Huber, Wiltrud/ Heisenberg, Werner (1901-1976);Philosophy of Science Association
1968-11-18;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
o.D.;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1968-10-02;Heisenberg, Werner (1901-1976);Massey, Gerald J./ Philosophy of Science Association
1968-09-11;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
o.D.;Massey, Gerald J.;Heisenberg, Werner (1901-1976)
1967-12-04;Heisenberg, Werner (1901-1976);Margenau, Henry
1967-11-27;Margenau, Henry;Heisenberg, Werner (1901-1976)
1967-11-17;Heisenberg, Werner (1901-1976);Margenau, Henry
1967-10-26;Margenau, Henry;Heisenberg, Werner (1901-1976)
1972-08-28;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1960-12-20;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
o.D.;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
1960-12-16;Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1960-12-15;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
1960-11-25;Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1960-11-21;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
17.11.960;Phillips, Herbert M.;Unbekannt
1960-04-28;Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1960-04-09;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
1960-04-09;Phillips, Herbert M.;Buri, Fritz (1907-1995)
1959-10-06;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Phillips, Herbert M.
o.D.;Giese, Annemarie [vermutlich]/ Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1959-08-19;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
1959-01-19;Heisenberg, Werner (1901-1976);Phillips, Herbert M.
1958-04-21;Heisenberg, Werner (1901-1976);Phillips, Herbert M.
o.D.;Phillips, Herbert M.;Heisenberg, Werner (1901-1976)
1972-08-20;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1971-12-14;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1970-06-19;Huber, Wiltrud/ Heisenberg, Werner (1901-1976);Philberth, Bernhard (1927-2010)
1970-06-11;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1967-12-23;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1967-02-24;Heisenberg, Werner (1901-1976);Philberth, Bernhard (1927-2010)
1967-01-12;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1966-05-20;Philberth, Bernhard (1927-2010);Heisenberg, Werner (1901-1976)
1963-01-11;Heisenberg, Werner (1901-1976);Philberth, Bernhard (1927-2010)
1972-06-02;Philberth, Karl (1929-);Heisenberg, Werner (1901-1976)
1968-09-12;Philberth, Karl (1929-);Heisenberg, Werner (1901-1976)
1975-03-04;Stiftung Volkswagenwerk (1961-1988);Heisenberg, Werner (1901-1976)
1975-03-03;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1975-02-27;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1975-02-05;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1965-12-01;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1965-11-23;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1965-09-30;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1965-04-13;Biermann, Ludwig (1907-1986);Peters, Arno (1916-2002)
1965-04-12;Unbekannt;Biermann, Ludwig (1907-1986)
1965-04-09;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1965-01-26;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1965-01-22;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1965-01-21;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1964-06-13;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1964-06-08;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1974-09-20;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
1974-09-11;Heisenberg, Werner (1901-1976);Peters, Arno (1916-2002)
1974-09-03;Peters, Arno (1916-2002);Heisenberg, Werner (1901-1976)
